ID,Comments
1309,Does not like the way the phone works. It is to difficult compared to his last phone.
3556,Wanted to know the nearest store location. Wants to buy aditional accessories.
2230,Wants to know how to do text messaging. Referred him to website.
2312,Asked how to disable call waiting. referred him to web site.
3327,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
1480,Called about new plan. Might switch soon. Wants more minutes.
3789,Wanted to know the nearest store location. Wants to buy additional access-ories.
1060,Said his battery never has worked well. Wants a new phone ASAP.
1854,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.
1745,Wanted to know the nearest store location. Wants to buy additional accessories.
841,Said his battery never has worked well. Wants a new phone ASAP.
2601,Said his batery never has worked well. Wants a new phone ASAP.
2222,Asked about how to change his ring tones. Referred him to web site.
1557,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
2944,Lost the directions to phone and wants another manual. I referred him to web site.
2820,Asked how to disable call waiting. referred him to web site.
3186,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
3721,He expected significantly better Technical Support.
1802,He asked us to please take him off the outbound call list. In addition wants to change rate plan at the end of the year.
375,Wanted more information on the family plan. Also asked about how he could use call screening.
3264,Called about new plan. Might switch soon. Wants more minutes.
3707,Wants to know how to do text messaging. Referred him to web site.
1064,Said his battery never has worked well. Wants a new phone ASAP.
930,Wants a new faceplate.
3315,Asked about how to change his ring tones. Referred him to web site.
2901,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.
2464,Wants to know how to do text messaging. Referred him to web site.
191,Hopes to get an additonal line working by the end of the week for his wife.
1460,Wants to know how to do text messaging. Referred him to web site.
3179,I wished the handset was bigger. It is uncomfortable using the handset for a long time.
2317,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.
3771,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.
2491,Asked about how to change his ring tones. Referred him to web site.
956,Wants to change rate plans to get family all on same bill. I transferred him to customer care.
3135,Wanted to know the nearest store location. Wants to buy additional accessories.
3236,Wants a new faceplate.
976,Wants an address change.
2870,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
2329,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1379,"He is really unhappy with his bill. He says that there are numerous calls he has never made, but that show up on his phone. He says that he simply does not trust our system."
1333,He does not know if the problems are related to the phone or if it is just the battery.
2659,Wanted to know the nearest store location. Wants to buy additional accessories.
690,Hopes to get an additonal line working by the end of the week for his wife.
2608,Said his battery never has worked well. Wants a new phone ASAP.
2775,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.
2851,Said his battery never has worked well. Wants a new phone ASAP.
587,He asked for a new phone number. I referred him to customer care.
