ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,TARGET
1,F,S,1,38000,N,229.64,24.393333,3,23.56,0,206.08,0,CC,Budget,Intnl_discount,Cancelled
6,M,M,2,29616,N,75.29,49.426667,2,29.78,0,45.5,0,CH,FreeLocal,Standard,Current
8,M,M,0,19732.8,N,47.25,50.673333,3,24.81,0,22.44,0,CC,FreeLocal,Standard,Current
11,M,S,2,96.33,N,59.01,56.473333,1,26.13,0,32.88,1,CC,Budget,Standard,Current
14,F,M,2,52004.8,N,28.14,25.14,1,5.03,0,23.11,0,CH,Budget,Intnl_discount,Cancelled
17,M,M,2,53010.8,N,58.87,18.84,1,12.45,0,46.42,4,CC,FreeLocal,Standard,Current
18,M,M,1,75004.5,N,58.72,64.8,1,26.52,0,32.19,0,CC,Budget,Intnl_discount,Current
21,M,M,0,19749.3,N,34.17,60.366667,3,20.22,0,13.94,0,CC,Budget,Standard,Current
22,M,S,1,57626.9,Y,48.35,43.906667,2,9.38,0,38.96,0,CC,Budget,Standard,Current
23,M,M,2,20078,N,15.98,32.846667,4,9.65,0,6.33,0,CC,Budget,Intnl_discount,Current
24,F,M,2,47902,N,72.31,26.033333,2,17.44,4.94,49.92,1,Auto,FreeLocal,Standard,Current
29,M,M,1,7545.96,Y,200.75,16.753333,3,22.39,0,178.36,0,CC,Budget,Standard,Cancelled
35,F,S,0,78851.3,N,29.04,48.373333,4,0.37,0,28.66,0,CC,FreeLocal,Standard,Current
36,F,S,1,17540.7,Y,36.2,62.786667,4,22.17,0.57,13.45,0,Auto,Budget,Standard,Cancelled
37,F,M,0,83891.9,Y,74.4,61.02,4,28.92,0,45.47,0,CH,Budget,Standard,Cancelled
38,F,M,2,28220.8,N,38.95,38.766667,4,26.49,0,12.46,0,CC,FreeLocal,Standard,Cancelled
40,F,S,0,28589.1,N,100.28,15.6,4,13.19,0,87.09,0,CC,FreeLocal,Standard,Cancelled
42,F,M,2,5237.63,N,78.02,48.753333,2,13.32,8.05,56.64,0,CC,Budget,Standard,Current
45,M,S,2,89459.9,N,36.05,53.28,2,11.54,1.61,22.9,0,CC,FreeLocal,Standard,Cancelled
48,F,S,1,13576.5,N,40.49,39.426667,1,14.83,0,25.66,0,CC,Budget,Standard,Cancelled
52,F,M,2,67388,N,96.33,53.12,3,4.79,0.5,91.04,1,CC,Budget,Standard,Current
53,F,M,1,57063,Y,98.1,52.333333,4,16.79,0,81.3,0,CH,Budget,Standard,Current
54,F,M,2,84166.1,N,15.02,54.013333,2,3.28,0,11.74,1,CC,Budget,Standard,Cancelled
60,F,S,1,7737.94,N,61.9,42.666667,4,11.05,0,50.84,0,CC,FreeLocal,Standard,Cancelled
61,M,S,2,100020,N,314.62,50,4,21.37,0,293.24,0,CH,Budget,Standard,Current
62,F,M,2,45287.6,Y,2.97,29.026667,3,0,0,2.97,0,CC,Budget,Standard,Current
63,F,M,2,59613.1,N,175.78,34.32,1,12.37,0,163.41,0,CC,Budget,Intnl_discount,Current
65,F,S,1,16326.7,N,1.34,50.613333,1,0,0,1.34,0,CC,FreeLocal,Intnl_discount,Cancelled
68,F,S,2,9559.78,N,77.91,51.38,3,18.31,0,59.59,0,CC,FreeLocal,Standard,Cancelled
71,F,M,2,42031.8,N,59.78,50.753333,4,20.45,0,39.33,0,CH,Budget,Intnl_discount,Current
73,F,M,2,83284.1,Y,35.96,28.42,4,26.91,0,9.04,0,Auto,FreeLocal,Intnl_discount,Current
74,M,M,1,39229.1,N,47.1,26.26,4,28.82,4.74,13.53,0,CC,Budget,Intnl_discount,Current
75,F,S,0,68427.4,N,73.81,42.393333,3,23.76,0,50.05,0,Auto,FreeLocal,Standard,Current
77,M,S,0,3601.71,N,125.6,49.266667,4,9.57,4.19,111.84,0,Auto,Budget,Intnl_discount,Cancelled
78,F,M,0,72642.6,N,39,27.646667,4,18.66,0,20.34,0,CH,FreeLocal,Intnl_discount,Current
79,F,S,0,98716.3,N,43.13,55.66,4,20.97,8.23,13.92,0,CC,FreeLocal,Standard,Cancelled
80,F,S,2,66182.7,Y,58.87,62.48,2,11.7,0,47.17,0,Auto,Budget,Standard,Current
81,F,M,2,84789.3,N,33.47,50.433333,4,14.22,8.8,10.45,0,CH,FreeLocal,Standard,Current
